Id,Data,Abitato,Tipo,Caratteris,Asciutto,Pavimentaz,Meteo,Traffico,DanniCose,Lesioni,Ora,Minuto,Strada,NearestX,NearestY,Quartiere,FasciaOraria,Strada_FullId,Strada_Highway,Strada_Name,Strada_Oneway,Strada_Maxspeed,Strada_Lanes,Strada_Length,Quartiere_Id,Quartiere_Nome,Quartiere_Area,Quartiere_Pop2011,Quartiere_Densita
1,01/01/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Intenso,0,0,0,0,w25634217,16.8741426742193,41.1256269434237,2,notte,w25634217,residential,Molo San Nicola,1,40.30221991197471,1,249.03029464319138,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
2,01/01/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Scarso,0,1,0,30,w333546056,16.8702890840991,41.0778942898334,14,notte,w333546056,residential,Via Paolo Pellegrini,0,40.30221991197471,1,128.6180486150631,14,XIV - CARBONARA DI BARI,13422549.211636262,22632,1686.1178635411438
3,01/01/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,14,15,w24888910,16.8809648764353,41.1210237941443,3,pomeriggio,w24888910,residential,Via Dalmazia,1,40.30221991197471,1,816.3837541440332,3,III - MADONNELLA,503783.4742221417,10259,20363.907362861064
4,01/01/2022,1,Strada urbana,Incrocio,1,Asfaltata,Sereno,Scarso,0,0,15,55,w29980621,16.8644956270279,41.1211373957646,2,pomeriggio,w29980621,tertiary,Via Quintino Sella,1,55.63033254141414,1,604.5192988560053,2,II - MURAT,1463167.9327545944,21115,14431.016103700691
5,01/01/2022,1,Strada urbana,Rettilineo,0,Asfaltata,Sereno,Normale,0,1,19,35,w166969911,16.8863968980341,41.1030824640844,6,sera,w166969911,secondary,Via Luigi Einaudi,1,51.70714492631247,1,250.31591270670734,6,VI - SAN PASQUALE,4061361.9191378583,19587,4822.766448787186
6,02/01/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Scarso,0,0,0,0,w1219743205,16.8840193084736,41.1025105851248,6,notte,w1219743205,secondary,Via Luigi Einaudi,1,51.70714492631247,1,107.40224176680698,6,VI - SAN PASQUALE,4061361.9191378583,19587,4822.766448787186
7,02/01/2022,1,Strada urbana,Rotatoria,1,Asfaltata,Sereno,Scarso,0,1,14,20,w25654689,16.8501802190298,41.1142537353495,8,pomeriggio,w25654689,secondary,Via Giuseppe Sangiorgi,1,51.70714492631247,2,155.22857434218952,8,VIII - PICONE,14850561.50670115,39116,2633.974478496947
8,02/01/2022,1,Strada urbana,Rettilineo,1,Asfaltata,Sereno,Normale,0,1,17,55,w292335019,16.8322447263976,41.1248661903233,9,pomeriggio,w292335019,unclassified,Via Sopramarzo,0,39.42018686626061,1,251.59594298883127,9,IX - STANIC,10552066.605152404,3555,336.9008302377613
9,02/01/2022,1,Provinciale entro l abitato,Curva senza visuale libera,1,Asfaltata,Sereno,Normale,0,1,20,0,w713387163,16.9995005,41.0831559,17,sera,w713387163,secondary,Strada Provinciale per Noicattaro,0,50.0,1,188.88040627188846,17,XVII - TORRE A MARE,5117090.348814829,5108,998.2235316957156
10,02/01/2022,1,Provinciale entro l abitato,Curva senza visuale libera,1,Asfaltata,Sereno,Normale,0,1,20,0,w713387163,16.9995005,41.0831559,17,sera,w713387163,secondary,Strada Provinciale per Noicattaro,0,50.0,1,188.88040627188846,17,XVII - TORRE A MARE,5117090.348814829,5108,998.2235316957156
