Abitato,Tipo,Caratteris,Asciutto,Meteo,Traffico,DanniCose,Lesioni,Quartiere,FasciaOraria,Strada_Highway,Strada_Oneway,Strada_Maxspeed,Strada_Lanes,Quartiere_Area,Quartiere_Pop2011,Quartiere_Densita
1,Strada urbana,Rettilineo,1,Sereno,Intenso,0,0,2,notte,residential,1,30,1,1463167.9327545944,21115,14431.016103700691
1,Strada urbana,Incrocio,1,Sereno,Scarso,0,1,14,notte,residential,0,30,1,13422549.211636262,22632,1686.1178635411438
1,Strada urbana,Rettilineo,1,Sereno,Scarso,0,0,3,pomeriggio,residential,1,5,1,503783.4742221417,10259,20363.907362861064
1,Strada urbana,Incrocio,1,Sereno,Scarso,0,0,2,pomeriggio,tertiary,1,40,1,1463167.9327545944,21115,14431.016103700691
1,Strada urbana,Rettilineo,0,Sereno,Normale,0,1,6,sera,secondary,1,50,1,4061361.9191378583,19587,4822.766448787186
1,Strada urbana,Rettilineo,1,Sereno,Scarso,0,0,6,notte,secondary,1,30,1,4061361.9191378583,19587,4822.766448787186
1,Strada urbana,Rotatoria,1,Sereno,Scarso,0,1,8,pomeriggio,secondary,1,50,2,14850561.50670115,39116,2633.974478496947
1,Strada urbana,Rettilineo,1,Sereno,Normale,0,1,9,pomeriggio,unclassified,0,30,1,10552066.605152404,3555,336.9008302377613
1,Provinciale entro l abitato,Curva senza visuale libera,1,Sereno,Normale,0,1,17,sera,secondary,0,50,1,5117090.348814829,5108,998.2235316957156
1,Provinciale entro l abitato,Curva senza visuale libera,1,Sereno,Normale,0,1,17,sera,secondary,0,50,1,5117090.348814829,5108,998.2235316957156
1,Strada urbana,Rettilineo,0,Sereno,Normale,0,1,8,sera,secondary_link,1,30,1,14850561.50670115,39116,2633.974478496947
1,Strada urbana,Incrocio,1,Sereno,Scarso,0,1,8,mattina,tertiary,0,30,2,14850561.50670115,39116,2633.974478496947
1,Strada urbana,Incrocio,1,Sereno,Scarso,0,0,17,mattina,residential,1,30,1,5117090.348814829,5108,998.2235316957156
1,Strada urbana,Intersezione semaforizzata,1,Sereno,Normale,0,0,7,mattina,tertiary,0,40,1,3050551.522896136,33902,11113.40023125198
1,Strada urbana,Incrocio,1,Sereno,Normale,0,1,8,mattina,residential,1,20,1,14850561.50670115,39116,2633.974478496947
1,Strada urbana,Rettilineo,1,Sereno,Normale,0,0,2,sera,secondary,0,50,1,1463167.9327545944,21115,14431.016103700691
1,Strada urbana,Intersezione semaforizzata,1,Sereno,Normale,0,1,8,notte,tertiary,1,30,1,14850561.50670115,39116,2633.974478496947
1,Strada urbana,Incrocio,1,Sereno,Scarso,1,1,4,mattina,secondary,0,50,1,1728359.618829931,35841,20737.003809579703
1,Strada urbana,Incrocio,1,Sereno,Normale,0,0,8,mattina,secondary,1,50,2,14850561.50670115,39116,2633.974478496947
1,Strada urbana,Rettilineo,1,Sereno,Normale,0,0,2,pomeriggio,secondary,1,50,1,1463167.9327545944,21115,14431.016103700691
1,Strada urbana,Incrocio,1,Sereno,Normale,0,1,6,pomeriggio,residential,0,30,1,4061361.9191378583,19587,4822.766448787186
1,Strada urbana,Rettilineo,1,Sereno,Normale,0,0,1,pomeriggio,secondary,0,50,1,815125.8006506412,5667,6952.301099384348
1,Strada urbana,Rettilineo,1,Sereno,Scarso,0,0,15,sera,tertiary,0,40,1,6788640.618601141,10414,1534.0331864770146
1,Strada urbana,Rettilineo,1,Sereno,Scarso,0,0,8,sera,residential,0,50,1,14850561.50670115,39116,2633.974478496947
1,Strada urbana,Rettilineo,1,Sereno,Normale,0,0,12,mattina,residential,0,30,1,9896021.478098463,13980,1412.6889306920016
1,Strada urbana,Incrocio,0,Sereno,Normale,0,0,5,mattina,secondary,0,50,1,15627563.350708809,29870,1911.3664318401377
1,Strada urbana,Intersezione stradale segnalata,1,Sereno,Normale,0,0,10,mattina,residential,0,30,1,5256128.527567743,15524,2953.5046410259074
1,Strada urbana,Incrocio,1,Sereno,Scarso,0,0,4,pomeriggio,tertiary,1,40,1,1728359.618829931,35841,20737.003809579703
1,Strada urbana,Incrocio,1,Sereno,Scarso,0,1,10,pomeriggio,residential,1,30,1,5256128.527567743,15524,2953.5046410259074
1,Strada urbana,Incrocio,1,Sereno,Normale,0,1,2,pomeriggio,secondary,0,50,4,1463167.9327545944,21115,14431.016103700691
1,Strada urbana,Incrocio,1,Nuvoloso,Normale,0,1,6,sera,residential,1,30,1,4061361.9191378583,19587,4822.766448787186
1,Strada urbana,Rettilineo,1,Sereno,Scarso,0,0,8,sera,residential,0,30,1,14850561.50670115,39116,2633.974478496947
1,Strada urbana,Incrocio,1,Nuvoloso,Scarso,0,1,8,sera,secondary,0,30,2,14850561.50670115,39116,2633.974478496947
1,Strada urbana,Intersezione semaforizzata,1,Sereno,Scarso,1,0,2,mattina,secondary,1,50,1,1463167.9327545944,21115,14431.016103700691
1,Strada urbana,Rettilineo,1,Sereno,Normale,0,1,8,pomeriggio,tertiary,0,40,1,14850561.50670115,39116,2633.974478496947
