full_id,highway,name,oneway,surface,maxspeed,lanes,length
w14347631,secondary,Viale Mercadante,yes,asphalt,,"1",43.293622290888692
w24884016,tertiary,Piazza Giuseppe Garibaldi,yes,asphalt,,"1",310.509675841758565
w24884032,residential,Via Carlo Perrone,yes,,,"1",110.075859784833654
w24884036,residential,Largo Angelo Fraccacreta,yes,,,"1",116.989376773605073
w24884039,residential,Via Niccolò Piccinni,yes,asphalt,"30","1",289.281492605385097
w24884041,residential,Via Abate Giacinto Gimma,yes,,,"1",101.037026454160184
w24884042,residential,Via Alessandro Maria Calefati,no,asphalt,,"1",290.845100252553891
w24884043,residential,Via Nicolò Putignani,yes,asphalt,,"1",652.462002303330451
w24884052,tertiary,Via Dante Alighieri,yes,asphalt,,"1",1045.593227211452586
w24884056,service,Via Michele Garruba,no,asphalt,,"1",136.979282965497845
w24884068,residential,Via Melo da Bari,yes,asphalt,"30","1",151.920052925883283
w24884071,residential,Piazza Aldo Moro,yes,asphalt,,"1",107.632647809051264
w24884076,tertiary,Via Beata Elia di San Clemente,yes,asphalt,,"1",133.724752311528931
w24884077,residential,Via Marchese di Montrone,yes,asphalt,,"1",445.240667158946678
w24884086,residential,Via Andrea da Bari,yes,,,"1",78.577617001097437
w24884089,residential,Via Salvatore Cognetti,yes,,,"1",26.691953794140865
w24884090,residential,Via Matteo Renato Imbriani,yes,asphalt,,"1",371.007875733109074
w24884091,residential,Via Cardassi,yes,,,"1",299.684093014194389
w24884095,residential,Via Alberto Sordi,yes,asphalt,"30","1",107.924310259988616
w24884096,residential,Piazza Eroi del Mare,yes,,,"1",86.147914797960624
w24884103,residential,Via Sagarriga Visconti,yes,,,"1",133.820112255342963
w24884107,residential,Via Eritrea,yes,,,"1",134.773663326835049
w24884108,residential,Via Marcello Celentano,yes,,,"1",296.592001082665490
w24884161,residential,Via Alfredo Oriani,yes,asphalt,,"1",138.383333193817037
w24884183,service,Via Giovanni Palatucci,no,,,"1",87.761502125116266
w24884189,residential,Via Giovanni Bovio,yes,,,"1",543.131180638298247
w24884194,residential,Via Principe Amedeo,yes,,,"1",665.889630105158062
w24884196,residential,Via Giovan Battista Trevisani,yes,asphalt,,"1",761.876019582765139
w24884205,residential,Via Scipione Crisanzio,yes,,,"1",604.115646988050003
w24884206,residential,Via Libertà,yes,,,"1",223.481562757582140
w24884211,residential,Via Tenente Casale y Figoroa,yes,asphalt,"30","1",145.198872596375509
w24884241,residential,Via Francesco Petrelli,yes,,,"1",127.152488451990763
w24884242,residential,Via Ettore Fieramosca,yes,asphalt,,"1",520.958418012447964
w24884257,secondary,Via Nicola de Giosa,yes,,,"1",347.797924433833430
w24884262,residential,Corso Sidney Sonnino,yes,asphalt,,"1",843.504127589004497
w24888729,residential,Via Monsignor Francesco Nitti,yes,,,"1",307.025125406666120
w24888743,residential,Via Don Giovanni Bosco,yes,,,"1",334.015542465696626
w24888745,residential,Via Canonico Bux,no,,,"1",156.414874223686354
w24888782,residential,Via Emanuele Mola,yes,asphalt,,"1",221.359208148109531
w24888785,service,w24888785,yes,,,"1",158.325197114850170
w24888810,residential,Via Giuseppe Bozzi,yes,,,"1",259.918016059920603
w24888867,residential,Via Goffredo di Crollalanza,yes,asphalt,,"1",134.355857877830431
w24888882,residential,Via Zara,yes,asphalt,,"1",151.513899764118463
w24888892,residential,Via Giuseppe Volpe,yes,asphalt,,"1",150.685338334214350
w24888895,residential,Via Giandomenico Petroni,no,asphalt,,"1",150.185447765724348
w24888910,residential,Via Dalmazia,yes,asphalt,,"1",816.383754144033219
w24888924,residential,Piazza Eroi del Mare,yes,asphalt,"30","1",115.920061548929539
w24888988,residential,Via Fiume,yes,asphalt,,"1",82.937356486170074
w24888996,residential,Via Giuseppe Laudisi,yes,asphalt,,"1",73.972935609568040
w24888999,residential,Via Raffaele d'Addosio,yes,asphalt,,"1",123.570873499518939
w24889002,residential,Via Francesco Maria Parisi,yes,asphalt,,"1",73.477982586750400
w24889030,residential,Via Vincenzo de Romita,yes,asphalt,,"1",150.478308826281989
w24889060,tertiary,Corso Cavour,yes,asphalt,,"1",104.474196512014373
w24889089,residential,Via Muciaccia,no,,,"1",58.445632945162075
w24889107,residential,Piazza Giuseppe Massari,yes,asphalt,,"1",29.349142148795941
w24889172,residential,Piazza Aldo Moro,yes,asphalt,"30","1",139.899547298667102
w24889189,residential,Via Giovanni Pascoli,yes,,,"1",127.734615445646170
w24889264,tertiary,Via Napoli,yes,,,"1",96.417148807294751
w24889463,residential,Via San Francesco d'Assisi,no,asphalt,,"1",102.590493366217189
w24889475,residential,Via Pasquale Villari,no,,,"1",187.105110433076931
w24909577,residential,Via Michele Fiorino,yes,,,"1",107.073728339783017
w24909587,residential,w24909587,no,,,"1",61.076262328091317
w24909598,residential,Via Domenico Turitto,yes,,,"1",183.867760959180544
w24909618,residential,Via Saverio Costantino,yes,,,"1",92.089044867731928
w24909625,residential,Via Fratelli Bandiera,yes,,,"1",119.278334144282979
w24909628,residential,Via Malta,no,,,"1",94.717008956663889
