Id,Maxspeed
w24884039,30
w24884068,30
w24884095,30
w24884211,30
w24888924,30
w24889172,30
w25072229,40
w25585785,20
w25634025,40
w25634029,40
w25634042,40
w25654817,50
w25748726,50
w25748839,50
w25817392,50
w25972707,40
w25972771,40
w25980354,40
w25980355,40
w27296327,40
w27297432,40
w27376173,80
w27376452,80
w27378274,40
w27378275,40
w27534046,30
w27534567,40
w27535274,40
w27535284,90
w27535287,90
w27535288,90
w27535302,40
w27535305,40
w27535546,40
w27535585,90
w27535603,90
w27535609,90
w27535841,90
w27674602,40
w27810832,90
w28061376,30
w28061384,30
w28061387,30
w28082672,40
w28082673,40
w28111105,40
w28111171,40
w28158033,40
w28279168,50
w28487847,40
w28487848,40
w28487851,90
w28487852,90
w28487854,90
w28487855,90
w28488205,40
w28510831,40
w28510992,40
w28510993,40
w28510994,40
w28684907,90
w28685919,60
w28717846,50
w28724319,40
w28724322,40
w28762710,30
w28790795,50
w28790799,50
w28792009,40
w28792016,90
w28792017,90
w28792019,90
w28792020,90
w28792021,40
w28792052,90
w28792053,90
w28792055,90
w28792608,90
w28792609,90
w28792610,90
w28792611,90
w28921256,70
w28921257,70
w28921520,90
w28921522,90
w28921523,90
w28921525,90
w28921530,30
w28921531,30
w29086691,40
w29086695,40
w29087264,40
w29087265,40
w29087267,40
w29087269,40
w29087270,40
w29087271,40
w29091156,40
w29091807,40
w29091808,40
w29092304,90
w29092307,90
w29092308,90
w29092310,40
w29092311,40
w29092312,40
w29092314,40
w29092366,40
w29092367,40
w29092368,40
w29092369,40
w29092660,40
w29092662,50
w29093034,50
w29093035,30
w29093036,40
w29093037,50
w29093154,50
w29139996,40
w29176650,40
w29191963,40
w29222897,40
w29222898,40
w29281815,40
w29281817,40
w29281819,50
w29343112,40
w29362716,40
w29362749,40
w29362814,40
w29390846,50
w29925869,40
w29926074,40
w29926520,40
w29926932,40
w29975379,30
w29975382,30
w29986261,30
w30002087,50
w30002254,30
w30002265,30
w30015234,30
w30015896,40
w30015897,40
w30015898,40
w30016388,40
w30016389,40
w30023433,30
w30029561,30
w30029569,50
w30029575,50
w30029586,30
w30046801,40
w30113530,50
w30120295,40
w30134114,70
w30150527,50
w30150657,70
w30150710,40
w30150827,40
w30151105,20
w30165178,40
w30165196,40
w30191245,40
w30191278,40
w30198473,50
w30250633,40
w30250637,40
w30251645,40
w30251651,40
w30252655,40
w30252657,40
w30277004,30
w30277221,30
w30277590,40
w30277652,90
w30311529,40
w30311530,40
w30311531,40
w30314119,40
w30314783,90
w30342259,40
w30342277,40
w30342353,80
w30342402,40
w30342408,40
w30342434,40
w30342460,80
w30342505,80
w30342538,90
