Id,Maxspeed
w14347631,50
w24884016,40
w24884032,30
w24884036,30
w24884039,30
w24884041,50
w24884042,50
w24884043,30
w24884052,50
w24884056,30
w24884068,30
w24884071,50
w24884076,40
w24884077,50
w24884086,50
w24884089,30
w24884090,50
w24884091,50
w24884095,30
w24884096,50
w24884103,50
w24884107,50
w24884108,30
w24884161,50
w24884183,30
w24884189,30
w24884194,50
w24884196,50
w24884205,50
w24884206,30
w24884211,30
w24884241,30
w24884242,30
w24884257,50
w24884262,30
w24888729,30
w24888743,30
w24888745,30
w24888782,30
w24888785,30
w24888810,30
w24888867,50
w24888882,30
w24888892,50
w24888895,30
w24888910,30
w24888924,30
w24888988,50
w24888996,50
w24888999,30
w24889002,50
w24889030,30
w24889060,40
w24889089,50
w24889107,50
w24889172,30
w24889189,50
w24889264,50
w24889463,50
w24889475,50
w24909577,30
w24909587,30
w24909598,30
w24909618,30
w24909625,20
w24909628,50
w24909639,50
w24909643,50
w24909646,30
w24909650,30
w24909653,50
w24909655,50
w24909820,30
w24909850,30
w24909852,30
w24909933,30
w24909950,50
w24909965,30
w24909975,30
w24909989,50
w24909992,30
w24909999,30
w24910006,50
w24995602,30
w24995603,50
w24995605,50
w24995606,30
w24995607,50
w24995608,30
w24998892,40
w25072229,40
w25563487,30
w25563490,30
w25563512,30
w25563515,50
w25563516,30
w25563519,30
w25563522,50
w25563524,30
w25563526,30
w25563530,50
w25563701,30
w25563710,50
w25563712,30
w25563715,50
w25563718,30
w25563739,30
w25585741,50
w25585743,50
w25585748,50
w25585764,30
w25585785,20
w25585789,30
w25585799,50
w25585815,30
w25585825,50
w25585832,50
w25585833,30
w25585842,50
w25585848,30
w25585852,30
w25585856,30
w25585858,30
w25585861,50
w25585883,30
w25585902,40
w25586000,30
w25586007,30
w25586010,50
w25586014,30
w25586015,30
w25586022,30
w25586037,50
w25586063,50
w25586066,30
w25586080,30
w25586160,40
w25586166,30
w25586213,50
w25586444,50
w25586446,30
w25586450,50
w25621696,30
w25621913,30
w25621916,30
w25621938,30
w25621941,30
w25622232,30
w25622656,30
w25622658,30
w25622662,30
w25632636,30
w25632637,50
w25632638,40
w25633225,30
w25633468,30
w25633744,30
w25633750,30
w25633751,30
w25633755,30
w25633776,30
w25633801,30
w25633838,30
w25633859,30
w25633936,40
w25633955,50
w25633977,40
w25634025,40
w25634029,40
w25634032,30
w25634039,30
w25634042,40
w25634050,50
w25634052,50
w25634069,50
w25634116,30
w25634119,30
w25634152,30
w25634153,50
w25634181,30
w25634183,30
w25634217,50
w25634281,50
w25634282,30
w25634283,30
w25634287,50
w25634333,30
w25634399,30
w25634401,30
w25634403,50
w25634431,50
w25634503,30
w25634505,50
w25634514,30
w25634516,30
w25634552,50
w25634567,30
w25634568,50
w25634580,30
w25634581,50
w25634595,30
w25634597,30
w25634605,30
w25634637,50
w25634642,30
w25634648,20
w25634650,50
w25634719,30
w25634721,50
w25634722,50
w25634723,50
w25634726,30
w25634741,30
w25634742,30
w25634744,50
w25634770,30
w25634772,30
w25634775,30
w25634779,50
w25634780,30
w25634784,30
w25634786,30
w25634788,30
w25634789,30
w25634790,30
w25634791,30
w25634792,30
w25634804,30
w25634805,30
w25634807,30
w25634809,30
w25634810,30
w25634811,50
w25654202,30
w25654221,50
w25654257,30
w25654260,30
